x,y,z,run_time,distance,delta6,delta3,joint1,joint2,joint3,joint4,joint5,joint6
0.189013412,-0.053592828,0.538206106,4.95,0.144347756,1.349101928,0.752003489,0.26956164,0.11686409,0.365577759,0.340833847,0.254954413,0.001310179
0.284400078,0.155107529,0.404845084,4.4,0.158023446,1.595836123,0.950659355,0.48623748,0.266934201,0.197487675,0.305171925,0.273401664,0.066603179
0.257685253,0.109696669,0.527746793,4.95,0.147882448,1.90820921,1.426685502,0.404761698,0.267922861,0.754000943,0.185581516,0.279007133,0.016935059
0.33854251,0.06044943,0.124962288,4.85,0.318189528,2.128772205,1.112785634,0.17620032,0.793007995,0.143577319,0.36113715,0.457558495,0.197290925
0.092257993,-0.249775454,0.062911442,4.95,0.476360231,3.335608704,2.629659216,1.223654269,0.869785123,0.536219823,0.100748859,0.475010001,0.130190629
0.199192613,0.128525491,0.329812666,4.8,0.175834698,1.814402957,1.185231955,0.574020577,0.124326317,0.48688506,0.087487517,0.277736812,0.263946673
0.145601551,0.031262962,0.497238359,4.9,0.142374457,1.197313067,0.697862407,0.212396374,0.399932401,0.085533633,0.012374738,0.313312238,0.173763683
0.035517403,-0.033757882,0.624640304,4.65,0.304698035,2.42381315,1.791639813,0.735395193,0.256206603,0.800038016,0.237283322,0.196408382,0.198481634
0.165818061,-0.031635335,0.549008499,4.75,0.159918985,1.421228821,0.742249305,0.187988457,0.19848694,0.355773908,0.05527928,0.387717667,0.235982569
0.120832055,0.334998345,0.320092487,4.9,0.381266495,2.663956841,1.774893434,1.225305124,0.41993632,0.12965199,0.344615057,0.478334128,0.066114222
0.047729719,-0.068681165,0.59731764,4.95,0.28464308,2.399993266,1.827626826,0.996258065,0.305198502,0.526170259,0.238919461,0.117389105,0.216057874
0.242211241,-0.049845529,0.484137784,4.15,0.078198307,1.063330743,0.44867769,0.205693829,0.022436026,0.220547835,0.185460794,0.278452647,0.150739611
0.387036466,-0.056590528,0.309447285,4.4,0.178870366,1.671991454,1.066244291,0.143273122,0.598108717,0.324862452,0.141462065,0.192681427,0.271603671
0.225946395,-0.046713788,0.468111385,4.65,0.073290128,0.785574533,0.37216564,0.20818617,0.120954825,0.043024646,0.136143929,0.089283064,0.187981899
0.184514044,0.208581774,0.395859533,4.15,0.226685331,1.634577025,1.000360851,0.859750812,0.046906215,0.093703824,0.278792376,0.212457092,0.142966705
0.381458801,0.067622779,0.356549238,4.85,0.151612647,2.038071756,1.218011353,0.174973152,0.566165942,0.476872259,0.244361518,0.405808932,0.169889953
-0.049770544,-0.123552376,0.186767635,1.1,0.087622506,3.47384524,0.682296172,0.007923806,0.512136552,0.162235814,2.733521589,0.05635908,0.001668399
-0.022354449,-0.098047537,0.110663518,1.1,0.056730924,1.226833014,0.432246394,0.000408151,0.330268529,0.101569713,0.717327387,0.068208532,0.009050701
-0.034777526,-0.109025977,0.14502601,1.05,0.032961501,2.629204864,0.135095609,0.008491911,0.012458186,0.114145512,2.420682686,0.071483753,0.001942815
-0.009327248,-0.130213874,0.198426999,1.1,0.075249419,3.984915452,0.555641813,0.005292042,0.403221549,0.147128222,3.355638972,0.072214851,0.001419816
-0.022764935,-0.101535061,0.186014793,1.1,0.015038894,1.274546133,0.102227406,0.010001289,0.063968868,0.028257249,1.062038804,0.090528848,0.019751075
-0.028345635,-0.097463802,0.156441204,1.1,0.012807717,3.911872603,0.14176899,0.024669619,0.09703178,0.020067591,3.752739973,0.01358891,0.003774731
-0.007679964,-0.104776893,0.179779655,1.2,0.011057251,0.482959991,0.112068978,0.019307817,0.049544926,0.043216235,0.277718595,0.069160604,0.024011814
-0.026377503,-0.10364204,0.164341804,1.15,0.039306356,5.606317165,0.202275139,0.016883898,0.059438819,0.125952421,5.330584637,0.07174701,0.001710379
-0.037043495,-0.112081733,0.205189301,1.05,0.070497034,1.865412268,0.574136867,0.031076893,0.488833571,0.054226403,1.270290158,0.018500027,0.002485217
-0.0382094,-0.136707646,0.18999324,1.2,0.067282208,6.651174983,0.211396483,0.000710443,0.021755032,0.188931008,6.374853155,0.038431907,0.026493438
-0.04395607,-0.139968541,0.204308192,1.1,0.087622506,3.47384524,0.682296172,0.007923806,0.512136552,0.162235814,2.733521589,0.05635908,0.001668399
-0.031689747,-0.097872044,0.16472082,1.15,0.026415875,5.212542602,0.260936922,0.013077763,0.24675095,0.00110821,4.933483636,0.014056751,0.004065293
-0.01166343,-0.111134538,0.170815658,1.1,0.018198756,4.016339713,0.090009558,0.013155676,0.024856393,0.051997489,3.899515574,0.013622542,0.01319204
-0.014857663,-0.119042087,0.17483369,1.1,0.010445223,1.009746448,0.13749999,0.010358577,0.107610144,0.019531269,0.85795726,0.00201687,0.012272328
-0.014698982,-0.097338133,0.146368076,1.05,0.04716922,5.477700863,0.267588849,0.016387188,0.11073316,0.140468501,5.129277475,0.076851867,0.003982673
-0.025535767,-0.107212593,0.162828031,1.05,0.05534268,5.316374102,0.365551861,0.01264323,0.183015729,0.169892901,4.884039165,0.058527689,0.008255388
-0.042498334,-0.088452072,0.164043912,1.1,0.028619683,3.250315182,0.180708982,0.022104916,0.082921611,0.075682455,2.963908399,0.080766275,0.024931526
-0.041329987,-0.13741405,0.204909986,1.15,0.035658929,6.164995663,0.202216491,0.029822743,0.063377837,0.109015911,5.919347844,0.018291229,0.025140099
