X,Y,Z,run_time,distance,delta,axis1,axis2,axis3
0.228132184,0.324517329,0.536073981,1.422709942,0.489015568,285.8687199,54.87692965,-46.57702859,-144.874374
-0.069619061,0.096779894,0.730346352,1.401612759,0.242493003,443.5824615,125.7703094,20.88522451,144.2327371
-0.134890209,0.190383688,0.591504428,1.396499872,0.405163469,484.2472466,125.2983448,1.592308395,144.7027193
-0.241608533,0.338101922,0.454249835,1.392785549,0.63209651,497.4281708,125.5365856,-56.76698556,144.4600398
0.257255446,0.343360042,0.415370043,1.386928082,0.58556037,310.6498243,53.17158625,-65.75759824,-143.1739509
-0.107412992,0.148849114,0.724910928,1.386518955,0.30462975,423.6858743,125.8459993,6.482064433,144.1534352
-0.229185632,0.31935452,0.509505628,1.385534286,0.583552983,487.6297189,125.6502483,-45.54344701,144.3517008
-0.175359291,0.237689618,0.720830585,1.383271456,0.413510917,426.2897731,126.4409253,-29.64268784,143.559147
0.223936364,0.305164229,0.62335229,1.382554293,0.428393785,272.1221661,53.70830096,-47.6145824,-143.7047972
-0.045999918,0.064916885,0.716062076,1.381805658,0.211982814,463.5957951,125.2633639,31.66383564,144.7299009
0.157257663,0.217346821,0.554929206,1.381390095,0.38065227,311.2233288,54.12909199,-8.656748272,-144.1289785
0.193784977,0.274587509,0.647395509,1.380074978,0.383538688,251.7317206,54.76803938,-29.87074301,-144.7701429
-0.132869588,0.18557524,0.776614358,1.379271269,0.338443084,413.5985857,125.5818771,-23.49039079,144.4156003
0.088786782,0.123668971,0.739514238,1.378688574,0.196390228,235.9104911,54.29108517,11.87744336,-144.2833888
-0.053115723,0.075587462,0.82467347,1.378438711,0.203461616,380.2356021,125.0696526,1.350839799,144.928832
-0.064961671,0.091996739,0.815743268,1.378226757,0.222777514,371.5368703,125.2011145,0.813227712,144.7936128
-0.165094204,0.226885492,0.585856947,1.37767148,0.448576876,483.8854346,126.0234671,-10.76400283,143.9732
-0.085355521,0.120272174,0.809393508,1.376561642,0.25696243,383.4687533,125.3389779,-6.752383266,144.6557562
-0.146247948,0.203011618,0.73324899,1.376219034,0.366684898,407.2215565,125.7934318,-13.91089817,144.2054072
-0.176327664,0.250496038,0.697661078,1.376170397,0.42887202,420.9921802,125.1644266,-26.99556611,144.8325578
-0.111824099,0.129243363,0.783362261,1.375962257,0.283566843,380.2803875,130.8940124,-2.693093071,139.103873
0.013161163,0.017335802,0.760116833,1.375390768,0.124662741,244.5951188,52.64684652,34.83468066,-142.6449555
-0.176020681,0.24520089,0.570963787,1.373493433,0.474127357,488.2127355,125.6899512,-16.69335632,144.3088099
0.210902602,0.29029357,0.606575852,1.372533083,0.419869872,265.7812146,54.02075464,-34.53276252,-144.0177841
-0.094504957,0.13209648,0.650362874,1.372339487,0.314745386,482.7112487,125.5487467,18.82388579,144.4449635
0.260934302,0.354593657,0.395353626,1.371917963,0.607792739,324.9689707,53.66543543,-73.9203761,-143.6613636
-0.05225101,-0.072597351,0.82016674,1.370274067,0.151214634,225.5648435,54.24854381,29.8096733,-144.2463085
-0.145125966,0.198018196,0.752577823,1.36980629,0.358821653,402.9473893,126.2611478,-17.98128051,143.7349195
0.13807377,0.19412239,0.757850747,1.369478226,0.262071516,212.9070554,54.60007988,-16.97618239,-144.5928608
-0.060594304,0.074112525,0.807800531,1.36871624,0.207545751,370.5261897,129.2362888,8.389648552,140.7621507
0.250443843,0.341887351,0.465690024,1.368516684,0.54998131,297.812674,53.79105173,-59.64474943,-143.7870984
-0.112293963,0.158850398,0.769031951,1.368002653,0.305970828,389.0574791,125.2313566,-5.319067621,144.7616776
-0.092566502,-0.131594507,0.816635239,1.367979288,0.203809288,264.6146858,54.87184696,28.05430928,-144.8721535
-0.146618486,0.206594109,0.753567685,1.367356062,0.365875293,410.9584965,125.3408266,-22.15595558,144.656526
-0.205722578,0.2930555,0.53908561,1.367091417,0.538175586,489.0832119,125.0843132,-33.30013664,144.9172301
0.017425267,0.014303216,0.842190444,1.366960287,0.114332481,490.4623352,-118.9761155,1.152495278,144.9552527
-0.24577121,0.311648541,0.529900557,1.365822792,0.577991925,476.2353047,128.2434607,-46.62180747,141.7556843
-0.088051494,0.120390257,0.652613727,1.364954472,0.302584715,486.199615,126.1457768,22.04170606,143.8445398
-0.065525155,0.090295714,0.81908844,1.364468813,0.222162244,378.8024188,125.9943445,-0.739693624,144.0067762
-0.208442162,0.296327009,0.631937541,1.363921881,0.502085057,445.0984637,125.1030724,-39.20417024,144.8914222
-0.198270821,0.246482735,0.549475388,1.36362052,0.498964903,495.4365999,128.8286508,-21.28357868,141.1735379
0.174883848,0.242931582,0.565091902,1.363570452,0.39631532,302.2986269,54.23415743,-16.20642286,-144.2229614
-0.037666763,0.051187104,0.7480837,1.363339901,0.185574738,442.0480751,126.4131713,29.57569255,143.5788066
0.1781168,0.242651455,0.712403805,1.363317251,0.327433471,235.1764977,53.69840407,-29.16055241,-143.6923425
-0.057925532,0.082674941,0.70312643,1.363099098,0.236286087,468.4501747,125.0654788,28.76105691,144.9337795
0.243298996,0.321647623,0.55589747,1.363027811,0.480296007,276.5455263,52.87772561,-50.65226603,-142.8729911
-0.122979355,0.165245357,0.781627131,1.362886429,0.31656375,395.0524364,126.6347292,-14.20630571,143.368832
0.190110102,0.270531241,0.640961147,1.362722158,0.38188749,258.05668,54.88316138,-27.09460433,-144.8827702
