episode,Success,Replay Memory,total numsteps,level
0,1,2,2,0
1,1,241,241,0
2,0,497,497,0
3,0,753,753,0
4,0,1009,1009,0
5,0,1265,1265,0
6,0,1521,1521,0
7,0,1777,1777,0
8,0,2033,2033,0
9,0,2289,2289,0
10,0,2545,2545,0
11,0,2801,2801,0
12,0,3057,3057,0
13,0,3313,3313,0
14,0,3555,3555,0
15,0,3811,3811,0
16,0,4067,4067,0
17,0,4151,4151,0
18,0,4407,4407,0
19,0,4663,4663,0
20,0,4770,4770,0
21,0,5026,5026,0
22,0,5282,5282,0
23,0,5538,5538,0
24,0,5794,5794,0
25,0,6050,6050,0
26,0,6306,6306,0
27,0,6562,6562,0
28,0,6818,6818,0
29,0,7074,7074,0
30,0,7256,7256,0
31,0,7512,7512,0
32,1,7649,7649,0
33,0,7905,7905,0
34,0,8161,8161,0
35,1,8311,8311,0
36,0,8567,8567,0
37,0,8823,8823,0
38,1,8840,8840,0
39,0,9096,9096,0
40,0,9352,9352,0
41,0,9608,9608,0
42,0,9864,9864,0
43,0,10120,10120,0
44,0,10376,10376,0
45,0,10632,10632,0
46,0,10888,10888,0
47,0,11144,11144,0
48,0,11400,11400,0
49,0,11656,11656,0
50,0,11912,11912,0
51,0,12168,12168,0
52,0,12424,12424,0
53,0,12680,12680,0
54,0,12936,12936,0
55,0,13192,13192,0
56,0,13448,13448,0
57,0,13704,13704,0
58,0,13960,13960,0
59,0,14216,14216,0
60,0,14472,14472,0
61,0,14728,14728,0
62,0,14984,14984,0
63,0,15240,15240,0
64,0,15496,15496,0
65,0,15752,15752,0
66,1,15758,15758,0
67,0,15906,15906,0
68,0,16162,16162,0
69,0,16418,16418,0
70,0,16674,16674,0
71,0,16930,16930,0
72,0,17186,17186,0
73,0,17442,17442,0
74,0,17687,17687,0
75,0,17943,17943,0
76,0,18199,18199,0
77,0,18455,18455,0
78,0,18711,18711,0
79,0,18967,18967,0
80,0,19223,19223,0
81,0,19479,19479,0
82,1,19493,19493,0
83,0,19749,19749,0
84,0,20005,20005,0
85,0,20261,20261,0
86,0,20517,20517,0
87,0,20773,20773,0
88,0,21029,21029,0
89,0,21285,21285,0
90,0,21541,21541,0
91,0,21797,21797,0
92,0,22053,22053,0
93,0,22309,22309,0
94,0,22565,22565,0
95,0,22821,22821,0
96,0,23077,23077,0
97,0,23333,23333,0
98,0,23589,23589,0
99,0,23845,23845,0
100,0,24101,24101,0
101,0,24357,24357,0
102,0,24613,24613,0
103,0,24869,24869,0
104,0,24897,24897,0
105,0,25153,25153,0
106,0,25409,25409,0
107,0,25665,25665,0
108,0,25921,25921,0
109,0,25953,25953,0
110,0,26209,26209,0
111,1,26235,26235,0
112,1,26261,26261,0
113,0,26517,26517,0
114,0,26773,26773,0
115,0,26904,26904,0
116,0,26962,26962,0
117,0,26983,26983,0
118,0,27239,27239,0
119,0,27495,27495,0
120,0,27751,27751,0
121,1,27764,27764,0
122,0,28020,28020,0
123,0,28276,28276,0
124,0,28532,28532,0
125,0,28551,28551,0
126,0,28567,28567,0
127,0,28589,28589,0
128,0,28845,28845,0
129,0,28861,28861,0
130,0,28878,28878,0
131,0,28899,28899,0
132,0,29155,29155,0
133,0,29178,29178,0
134,0,29196,29196,0
135,0,29219,29219,0
136,0,29239,29239,0
137,0,29258,29258,0
138,0,29276,29276,0
139,0,29299,29299,0
140,0,29317,29317,0
141,0,29332,29332,0
142,0,29350,29350,0
143,0,29379,29379,0
144,0,29393,29393,0
145,0,29407,29407,0
146,1,29421,29421,0
147,0,29437,29437,0
148,0,29451,29451,0
149,0,29469,29469,0
150,0,29488,29488,0
151,0,29509,29509,0
152,0,29530,29530,0
153,0,29547,29547,0
154,0,29566,29566,0
155,0,29584,29584,0
156,0,29605,29605,0
157,0,29622,29622,0
158,0,29640,29640,0
159,0,29657,29657,0
160,0,29673,29673,0
161,0,29693,29693,0
162,0,29859,29859,0
163,1,29860,29860,0
164,0,29882,29882,0
165,0,29911,29911,0
166,0,29935,29935,0
167,0,29957,29957,0
168,0,29977,29977,0
169,0,30004,30004,0
170,0,30027,30027,0
171,0,30053,30053,0
172,0,30121,30121,0
173,0,30179,30179,0
174,0,30198,30198,0
175,0,30219,30219,0
176,0,30239,30239,0
177,0,30262,30262,0
178,0,30281,30281,0
179,0,30298,30298,0
180,0,30329,30329,0
181,0,30346,30346,0
182,0,30364,30364,0
183,0,30383,30383,0
184,0,30410,30410,0
185,0,30427,30427,0
186,0,30544,30544,0
187,0,30568,30568,0
188,0,30608,30608,0
189,0,30633,30633,0
190,0,30699,30699,0
191,1,30713,30713,0
192,0,30776,30776,0
193,0,31032,31032,0
194,0,31049,31049,0
195,0,31095,31095,0
196,0,31119,31119,0
197,0,31140,31140,0
198,0,31177,31177,0
199,0,31206,31206,0
200,0,31229,31229,0
201,0,31485,31485,0
202,1,31579,31579,0
203,0,31645,31645,0
204,0,31732,31732,0
205,0,31988,31988,0
206,0,32244,32244,0
207,0,32338,32338,0
208,0,32594,32594,0
209,0,32634,32634,0
210,0,32687,32687,0
211,1,32760,32760,0
212,0,33016,33016,0
213,0,33045,33045,0
214,0,33301,33301,0
215,0,33327,33327,0
216,0,33352,33352,0
217,0,33608,33608,0
218,0,33864,33864,0
219,0,34120,34120,0
220,0,34303,34303,0
221,0,34559,34559,0
222,0,34815,34815,0
223,0,35071,35071,0
224,0,35101,35101,0
225,0,35357,35357,0
226,0,35613,35613,0
227,0,35671,35671,0
228,0,35927,35927,0
229,0,35993,35993,0
230,1,36066,36066,0
231,0,36322,36322,0
232,0,36578,36578,0
233,0,36597,36597,0
234,0,36695,36695,0
235,0,36715,36715,0
236,0,36740,36740,0
237,0,36760,36760,0
238,0,36788,36788,0
239,1,36812,36812,0
240,0,36833,36833,0
241,0,37010,37010,0
242,0,37027,37027,0
243,0,37050,37050,0
244,0,37068,37068,0
245,0,37324,37324,0
246,1,37340,37340,0
247,1,37354,37354,0
248,0,37610,37610,0
249,0,37633,37633,0
250,0,37653,37653,0
251,0,37909,37909,0
252,0,38165,38165,0
253,0,38421,38421,0
254,0,38443,38443,0
255,0,38477,38477,0
256,0,38519,38519,0
257,0,38550,38550,0
258,0,38581,38581,0
259,0,38614,38614,0
260,0,38636,38636,0
261,0,38654,38654,0
262,0,38676,38676,0
263,0,38707,38707,0
264,0,38741,38741,0
265,0,38763,38763,0
266,0,38796,38796,0
267,0,38821,38821,0
268,0,38880,38880,0
269,0,38912,38912,0
270,0,38949,38949,0
271,0,38990,38990,0
272,0,39008,39008,0
273,0,39036,39036,0
274,0,39059,39059,0
275,0,39082,39082,0
276,0,39100,39100,0
277,0,39123,39123,0
278,0,39150,39150,0
279,1,39162,39162,0
280,0,39209,39209,0
281,0,39236,39236,0
282,0,39273,39273,0
283,0,39309,39309,0
284,0,39327,39327,0
285,0,39375,39375,0
286,0,39403,39403,0
287,0,39433,39433,0
288,0,39450,39450,0
289,0,39479,39479,0
290,1,39506,39506,0
291,0,39543,39543,0
292,0,39568,39568,0
293,0,39606,39606,0
294,0,39636,39636,0
295,0,39667,39667,0
296,0,39701,39701,0
297,0,39734,39734,0
298,0,39765,39765,0
299,0,39795,39795,0
300,1,39848,39848,0
301,0,39870,39870,0
302,0,39915,39915,0
303,0,39944,39944,0
304,0,39975,39975,0
305,0,40231,40231,0
306,0,40259,40259,0
307,0,40284,40284,0
308,0,40312,40312,0
309,1,40329,40329,0
310,0,40362,40362,0
311,0,40411,40411,0
312,0,40438,40438,0
313,0,40484,40484,0
314,0,40505,40505,0
315,0,40533,40533,0
316,0,40560,40560,0
317,0,40585,40585,0
318,0,40603,40603,0
319,0,40643,40643,0
320,0,40665,40665,0
321,0,40921,40921,0
322,0,41177,41177,0
323,0,41201,41201,0
324,0,41224,41224,0
325,0,41251,41251,0
326,0,41273,41273,0
327,0,41294,41294,0
328,0,41312,41312,0
329,0,41337,41337,0
330,1,41344,41344,0
331,0,41452,41452,0
332,0,41475,41475,0
333,0,41513,41513,0
334,0,41535,41535,0
335,0,41559,41559,0
336,1,41560,41560,0
337,1,41800,41800,0
338,0,41823,41823,0
339,0,41923,41923,0
340,1,41946,41946,0
341,0,41986,41986,0
342,0,42011,42011,0
343,1,42069,42069,0
344,0,42087,42087,0
345,1,42112,42112,0
346,1,42166,42166,0
347,0,42187,42187,0
348,0,42210,42210,0
349,0,42231,42231,0
350,0,42256,42256,0
351,0,42282,42282,0
352,0,42303,42303,0
353,1,42324,42324,0
354,0,42348,42348,0
355,0,42604,42604,0
356,1,42687,42687,0
357,0,42708,42708,0
358,0,42725,42725,0
359,0,42981,42981,0
360,0,42998,42998,0
361,0,43023,43023,0
362,0,43184,43184,0
363,0,43440,43440,0
364,0,43461,43461,0
365,0,43488,43488,0
366,0,43514,43514,0
367,0,43536,43536,0
368,0,43792,43792,0
369,0,43815,43815,0
370,0,43839,43839,0
371,0,43862,43862,0
372,1,43887,43887,0
373,0,43908,43908,0
374,0,43927,43927,0
375,0,43949,43949,0
376,0,44205,44205,0
377,0,44229,44229,0
378,0,44485,44485,0
379,0,44507,44507,0
380,0,44537,44537,0
381,0,44555,44555,0
382,1,44568,44568,0
383,0,44592,44592,0
384,1,44594,44594,0
385,0,44616,44616,0
386,0,44638,44638,0
387,0,44658,44658,0
388,0,44676,44676,0
389,1,44696,44696,0
390,0,44722,44722,0
391,0,44740,44740,0
392,1,44749,44749,0
393,0,45005,45005,0
394,0,45261,45261,0
395,0,45279,45279,0
396,0,45297,45297,0
397,0,45323,45323,0
398,0,45347,45347,0
399,0,45603,45603,0
400,0,45618,45618,0
401,0,45635,45635,0
402,0,45655,45655,0
403,0,45721,45721,0
404,0,45740,45740,0
405,1,45978,45978,0
406,1,45992,45992,0
407,0,46012,46012,0
408,1,46055,46055,0
409,0,46078,46078,0
410,0,46099,46099,0
411,1,46111,46111,0
412,0,46151,46151,0
413,0,46407,46407,0
414,0,46424,46424,0
415,0,46446,46446,0
416,1,46456,46456,0
417,0,46472,46472,0
418,0,46496,46496,0
419,0,46516,46516,0
420,0,46534,46534,0
421,0,46654,46654,0
422,0,46910,46910,0
423,1,46926,46926,0
424,0,47182,47182,0
425,0,47205,47205,0
426,0,47224,47224,0
427,0,47480,47480,0
428,0,47496,47496,0
429,0,47752,47752,0
430,0,47767,47767,0
431,0,47794,47794,0
432,1,47805,47805,0
433,0,47831,47831,0
434,0,47854,47854,0
435,0,47911,47911,0
436,0,48167,48167,0
437,0,48204,48204,0
438,0,48460,48460,0
439,0,48716,48716,0
440,0,48749,48749,0
441,0,48824,48824,0
442,0,48843,48843,0
443,0,49099,49099,0
444,0,49123,49123,0
445,1,49137,49137,0
446,0,49158,49158,0
447,0,49414,49414,0
448,0,49434,49434,0
449,0,49690,49690,0
450,1,49698,49698,0
451,0,49954,49954,0
452,0,49997,49997,0
453,1,50008,50008,0
454,0,50034,50034,0
455,0,50052,50052,0
456,0,50074,50074,0
457,0,50101,50101,0
458,1,50118,50118,0
459,1,50137,50137,0
460,0,50393,50393,0
461,0,50413,50413,0
462,0,50429,50429,0
463,0,50452,50452,0
464,0,50708,50708,0
465,1,50722,50722,0
466,0,50740,50740,0
467,0,50996,50996,0
468,0,51029,51029,0
469,0,51048,51048,0
470,0,51134,51134,0
471,0,51158,51158,0
472,1,51172,51172,0
473,0,51192,51192,0
474,0,51238,51238,0
475,0,51256,51256,0
476,0,51279,51279,0
477,1,51298,51298,0
478,0,51318,51318,0
479,1,51331,51331,0
480,0,51374,51374,0
481,0,51630,51630,0
482,0,51659,51659,0
483,0,51684,51684,0
484,0,51940,51940,0
485,0,51957,51957,0
486,0,51994,51994,0
487,0,52013,52013,0
488,0,52269,52269,0
489,1,52285,52285,0
490,0,52313,52313,0
491,0,52329,52329,0
492,0,52585,52585,0
493,0,52841,52841,0
494,0,52857,52857,0
495,0,53113,53113,0
496,0,53135,53135,0
497,0,53391,53391,0
498,0,53410,53410,0
499,0,53432,53432,0
500,0,53455,53455,0
501,0,53711,53711,0
502,0,53967,53967,0
503,0,53985,53985,0
504,1,53994,53994,0
505,0,54011,54011,0
506,0,54027,54027,0
507,0,54058,54058,0
508,0,54085,54085,0
509,0,54341,54341,0
510,0,54358,54358,0
511,0,54388,54388,0
512,0,54644,54644,0
513,0,54663,54663,0
514,0,54689,54689,0
515,0,54707,54707,0
516,0,54724,54724,0
517,0,54747,54747,0
518,0,55003,55003,0
519,0,55029,55029,0
520,0,55052,55052,0
521,0,55068,55068,0
522,0,55092,55092,0
523,1,55103,55103,0
524,0,55359,55359,0
525,0,55377,55377,0
526,1,55388,55388,0
527,0,55410,55410,0
528,1,55411,55411,0
529,0,55435,55435,0
530,0,55453,55453,0
531,0,55476,55476,0
532,1,55487,55487,0
533,0,55520,55520,0
534,0,55553,55553,0
535,0,55574,55574,0
536,0,55593,55593,0
537,0,55611,55611,0
538,0,55631,55631,0
539,0,55652,55652,0
540,0,55672,55672,0
541,0,55928,55928,0
542,1,55945,55945,0
543,0,56201,56201,0
544,0,56457,56457,0
545,1,56467,56467,0
546,1,56479,56479,0
547,1,56497,56497,0
548,0,56515,56515,0
549,0,56535,56535,0
550,0,56560,56560,0
551,0,56583,56583,0
552,0,56607,56607,0
553,0,56646,56646,0
554,0,56664,56664,0
555,0,56689,56689,0
556,0,56713,56713,0
557,0,56969,56969,0
558,0,57225,57225,0
559,0,57248,57248,0
560,0,57270,57270,0
561,0,57292,57292,0
562,1,57302,57302,0
563,0,57325,57325,0
564,0,57349,57349,0
565,0,57374,57374,0
566,0,57395,57395,0
567,0,57412,57412,0
568,0,57437,57437,0
569,1,57450,57450,0
570,0,57474,57474,0
571,0,57502,57502,0
572,0,57527,57527,0
573,1,57538,57538,0
574,0,57794,57794,0
575,1,57823,57823,0
576,0,57875,57875,0
577,0,57897,57897,0
578,0,57919,57919,0
579,0,58175,58175,0
580,0,58197,58197,0
581,0,58220,58220,0
582,0,58252,58252,0
583,0,58272,58272,0
584,1,58280,58280,0
585,0,58305,58305,0
586,0,58339,58339,0
587,0,58359,58359,0
588,0,58416,58416,0
589,0,58431,58431,0
590,1,58441,58441,0
591,0,58466,58466,0
592,1,58513,58513,0
593,1,58514,58514,0
594,0,58770,58770,0
595,0,59026,59026,0
596,0,59051,59051,0
597,1,59152,59152,0
598,0,59178,59178,0
599,0,59201,59201,0
600,0,59231,59231,0
601,0,59256,59256,0
602,0,59277,59277,0
603,1,59289,59289,0
604,0,59545,59545,0
605,0,59565,59565,0
606,0,59583,59583,0
607,1,59594,59594,0
608,0,59615,59615,0
609,0,59633,59633,0
610,0,59889,59889,0
611,0,59915,59915,0
612,0,59936,59936,0
